date,open,high,low,close
2020-08-05,17.29,17.624,16.36,16.94
2020-08-06,17.13,17.4,16.1,16.5
2020-08-07,16.1,16.23,15.93,16.1
2020-08-10,15.58,16.5,15.58,16.02
2020-08-11,16.45,16.46,15.9,16.46
2020-08-12,16.43,16.69,16.2,16.2
2020-08-13,16,16.51,16,16.51
2020-08-14,16.29,17.2,16.29,17.2
2020-08-17,17.03,19.9234,17.03,19.02
2020-08-18,19.8,20.3,18.98,19.7
2020-08-19,19.4,20.16,18.1,18.83
2020-08-20,18.52,19.11,17.97,19.04
2020-08-21,18.64,19.46,18.64,19.17
2020-08-24,19.3224,19.3224,18.1553,18.38
2020-08-25,18.76,19.33,18.76,18.94
2020-08-26,18.4,20,18.4,20
2020-08-27,19.68,20.4,18.853,18.88
2020-08-28,19.32,19.68,18.7,19.68
2020-08-31,21.06,23.14,20.38,22.03
2020-09-01,22.25,23.78,21.74,22
2020-09-02,22.1219,22.27,20.55,21.01
2020-09-03,20.14,21,18.7,19.42
2020-09-04,19.14,20.7607,17.8,19.64
2020-09-08,19.4,20.28,19.4,19.5
2020-09-09,19.71,21.05,19.71,21.05
2020-09-10,21.05,21.52,19.57,19.62
2020-09-11,19.69,20.11,18.6,18.68
2020-09-14,19.43,20.21,18.95,19.72
2020-09-15,19.36,19.5,18.9,19
2020-09-16,18.62,19.1302,18.41,18.41
2020-09-17,18.22,19.01,17.67,18.78
2020-09-18,18.99,19.15,18.6,19.08
2020-09-21,18.39,18.75,17.39,18.75
2020-09-22,19.3,19.3,18.4243,18.93
2020-09-23,18.51,19.3,18.44,18.44
2020-09-24,18.1,18.63,17.85,18.04
2020-09-25,18.37,18.62,18.37,18.62
2020-09-28,18.8,19.28,18.8,19.28
2020-09-29,18.43,19.59,18.43,19.49
2020-09-30,20,20.03,19.54,20.03
2020-10-01,20.4,20.4,19.25,19.25
2020-10-02,18.91,19.72,18.6606,18.75
2020-10-05,19.18,19.86,18.9,19.33
2020-10-06,19.81,20.16,18.72,19.25
2020-10-07,19.6,19.63,19.0532,19.36
2020-10-08,19.41,19.41,18.83,18.83
2020-10-09,18.8,19,18.3478,18.57
2020-10-12,19.24,19.24,18.42,19.2
2020-10-13,19.12,19.15,18.16,19.15
2020-10-14,18.79,18.79,17.69,17.85
2020-10-15,18.04,18.31,17.99,18.14
2020-10-16,18.94,18.94,17.93,17.93
2020-10-19,18.76,18.76,18.2,18.225
2020-10-20,18.31,18.5,17.34,17.81
2020-10-21,17.1,17.6,16.8839,17.041
2020-10-22,17.1,17.898,17.01,17.417
2020-10-23,17.1,17.2415,16.78,16.79
2020-10-26,16.66,17.32,16.35,16.65
2020-10-27,16.41,16.8,16.04,16.54
2020-10-28,16.1,16.9,15.63,16.9
2020-10-29,16.54,16.8572,16.23,16.23
2020-10-30,16.6,17.16,15.94,15.94
2020-11-02,16.202,16.51,16.202,16.51
2020-11-03,16.68,17.14,16.68,17.14
2020-11-04,17.17,18,16.73,16.73
2020-11-05,17.41,17.6,17.1838,17.47
2020-11-06,17.9,17.9,17.16,17.45
2020-11-09,17.9,18.18,17.9,18.02
2020-11-10,18.6,18.6,17.8,17.9
2020-11-11,17.9,18.3,17.44,18.3
2020-11-12,17.7,17.9237,17.34,17.34
2020-11-13,17.8,17.85,16.48,16.48
2020-11-16,17.36,17.36,15.93,15.93
2020-11-17,16.45,16.72,15.52,16.55
2020-11-18,16.24,16.52,15.88,15.88
2020-11-19,16.02,16.59,16.02,16.58
2020-11-20,16.17,17.53,16.17,17.13
2020-11-23,17.19,17.5051,16.7274,17.48
2020-11-24,17.91,17.91,16.58,17.15
2020-11-25,17.47,17.47,17.09,17.16
2020-11-27,17.95,18.6,17.49,18.6
2020-11-30,18.46,18.66,16.92,18.66
2020-12-01,18.2666,18.9,17.9982,18.54
2020-12-02,18.17,18.64,18.17,18.47
2020-12-03,18.41,19.73,18.41,19.73
2020-12-04,19.73,20.11,19.227,20.11
2020-12-07,19.47,19.56,18.74,19.34
2020-12-08,18.87,20.86,18.87,20.86
2020-12-09,21.1,21.52,19.75,19.75
2020-12-10,20.44,20.44,19.78,20.43
2020-12-11,19.846,22.14,19.846,21.76
2020-12-14,21.64,21.6602,21.18,21.35
2020-12-15,21.55,21.55,19.6,20.92
2020-12-16,21.12,21.56,20.443,20.443
2020-12-17,21,21,20.33,20.42
2020-12-18,20.9,21.01,20.053,20.38
2020-12-21,20.44,21.11,20.44,20.69
2020-12-22,20.85,20.933,20.32,20.67
2020-12-23,20.8,20.91,20.13,20.7
2020-12-24,21,21.1142,19.97,19.97
2020-12-28,20.52,20.62,19.8,20.62
2020-12-29,19.81,21.56,19.81,20.43
2020-12-30,19.69,21.17,19.6,21.07
2020-12-31,20.88,21.08,19.23,19.23
2021-01-04,19.3,20.12,18.6,20
2021-01-05,19.13,20.3874,19.13,19.75
2021-01-06,19.21,19.58,19.21,19.22
2021-01-07,18.91,20.1,18.82,19.91
2021-01-08,19.74,20.49,19.74,20.49
2021-01-11,20.44,20.44,19.16,19.6
2021-01-12,19.61,19.9256,19.18,19.86
2021-01-13,19.31,19.91,19.25,19.55
2021-01-14,19.18,20.12,19.17,19.71
2021-01-15,19,19.97,18.59,18.78
2021-01-19,18.93,19.45,17.64,19.08
2021-01-20,19.9,20.14,19.5,19.58
2021-01-21,19.81,19.96,19.28,19.96
